"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","impdiff","impenv","impfree","impfun","imprich","impsafe","imptrad","ipadvnt","ipbhprp","ipcrtiv","ipeqopt","ipfrule","ipgdtim","iphlppl","iplylfr","ipmodst","iprspot","ipshabt","ipstrgv","ipsuces","ipudrst"
"ESS1e06_6",1,"6.6","01.12.2018",43,"AT",0.3853,0.47732326,0.2714875,,,,,2,2,2,5,5,2,2,5,2,2,2,5,3,2,2,2,5,5,2,5,4
"ESS1e06_6",1,"6.6","01.12.2018",44,"AT",0.3853,0.31762853,0.2714875,,,,,4,2,2,2,5,2,1,5,2,2,2,2,5,2,2,2,5,5,2,1,2
"ESS1e06_6",1,"6.6","01.12.2018",45,"AT",0.3853,0.31762853,0.2714875,,,,,5,2,2,4,5,2,2,5,2,5,2,2,2,2,2,2,2,2,2,5,2
"ESS1e06_6",1,"6.6","01.12.2018",46,"AT",1.1558,0.879011,0.2714875,,,,,4,3,2,5,3,3,2,5,3,2,1,4,3,3,2,3,5,5,2,4,2
"ESS1e06_6",1,"6.6","01.12.2018",48,"AT",1.1558,1.4318459,0.2714875,,,,,4,3,2,4,4,2,3,5,2,3,3,4,3,2,2,2,3,3,3,3,3
"ESS1e06_6",1,"6.6","01.12.2018",51,"AT",0.9152,1.0058453,0.2714875,,,,,4,2,2,4,2,3,3,3,3,3,3,4,2,3,3,4,2,2,3,2,3
"ESS1e06_6",1,"6.6","01.12.2018",53,"AT",0.9152,1.338294,0.2714875,,,,,2,3,1,4,3,4,5,3,4,2,3,4,3,3,3,4,3,2,4,2,2
"ESS1e06_6",1,"6.6","01.12.2018",56,"AT",0.9152,0.91106826,0.2714875,,,,,2,2,1,4,5,4,4,3,4,1,1,5,3,3,2,5,4,1,4,2,2
"ESS1e06_6",1,"6.6","01.12.2018",57,"AT",0.9152,2.056282,0.2714875,,,,,2,2,3,4,3,3,1,2,2,4,2,2,4,2,2,3,3,2,4,2,3
"ESS1e06_6",1,"6.6","01.12.2018",58,"AT",0.9152,0.6664759,0.2714875,,,,,4,2,3,4,4,3,4,4,3,3,1,4,3,3,2,4,4,3,4,4,2
"ESS1e06_6",1,"6.6","01.12.2018",59,"AT",0.9152,1.0058453,0.2714875,,,,,4,3,3,4,3,2,3,4,3,3,3,3,3,2,2,3,3,3,2,3,3
"ESS1e06_6",1,"6.6","01.12.2018",62,"AT",1.217,0.5890499,0.2714875,,,,,2,2,3,5,4,2,2,6,2,3,2,4,4,3,1,2,4,3,2,3,3
"ESS1e06_6",1,"6.6","01.12.2018",64,"AT",0.3042,0.44804648,0.2714875,,,,,5,3,3,5,5,1,2,5,1,4,3,3,2,2,1,1,3,4,3,4,3
"ESS1e06_6",1,"6.6","01.12.2018",66,"AT",1.5212,1.1077831,0.2714875,,,,,5,4,4,4,4,4,4,5,4,4,5,4,3,3,3,4,3,3,3,3,4
"ESS1e06_6",1,"6.6","01.12.2018",67,"AT",1.5212,1.5143324,0.2714875,,,,,6,1,1,6,5,2,2,6,2,2,1,2,5,2,1,4,3,3,2,3,2
"ESS1e06_6",1,"6.6","01.12.2018",68,"AT",0.9127,1.1306851,0.2714875,,,,,5,2,3,4,5,2,2,2,2,2,2,5,5,2,2,2,5,5,2,5,2
"ESS1e06_6",1,"6.6","01.12.2018",70,"AT",0.6085,0.89624023,0.2714875,,,,,2,2,2,5,5,2,2,5,2,2,2,2,2,2,2,2,5,2,2,2,2
"ESS1e06_6",1,"6.6","01.12.2018",72,"AT",0.6085,0.6687684,0.2714875,,,,,5,2,4,4,4,2,3,4,2,2,2,4,5,3,3,2,3,3,2,3,3
"ESS1e06_6",1,"6.6","01.12.2018",74,"AT",0.3348,0.275998,0.2714875,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"ESS1e06_6",1,"6.6","01.12.2018",75,"AT",1.0045,0.9999651,0.2714875,,,,,3,2,1,5,3,3,2,6,2,1,3,3,6,1,1,2,3,3,1,1,4
"ESS1e06_6",1,"6.6","01.12.2018",78,"AT",0.3348,0.49311626,0.2714875,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"ESS1e06_6",1,"6.6","01.12.2018",79,"AT",1.0045,0.76394403,0.2714875,,,,,3,1,3,3,4,2,2,5,3,2,1,4,2,1,1,2,3,2,3,2,2
"ESS1e06_6",1,"6.6","01.12.2018",81,"AT",1.3393,0.9753181,0.2714875,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"ESS1e06_6",1,"6.6","01.12.2018",83,"AT",1.0045,0.8280765,0.2714875,,,,,1,1,1,2,6,2,1,5,1,6,6,1,2,1,1,3,1,2,1,1,1
"ESS1e06_6",1,"6.6","01.12.2018",86,"AT",0.7971,1.1740232,0.2714875,,,,,1,3,1,6,6,1,6,1,6,1,1,3,3,6,1,6,1,6,3,1,1
"ESS1e06_6",1,"6.6","01.12.2018",87,"AT",0.7971,1.1238526,0.2714875,,,,,2,1,1,3,4,3,4,3,3,1,1,4,2,2,2,3,2,3,4,2,2
"ESS1e06_6",1,"6.6","01.12.2018",88,"AT",0.3985,0.49367592,0.2714875,,,,,6,1,1,2,6,1,1,6,1,1,1,1,1,1,1,1,1,6,1,1,1
"ESS1e06_6",1,"6.6","01.12.2018",92,"AT",0.3985,0.31077343,0.2714875,,,,,5,1,1,4,5,2,3,6,3,2,1,3,2,1,1,3,3,3,4,3,2
"ESS1e06_6",1,"6.6","01.12.2018",94,"AT",0.3985,0.5680557,0.2714875,,,,,5,1,1,5,6,6,1,4,5,3,1,3,4,1,1,1,5,4,1,4,1
"ESS1e06_6",1,"6.6","01.12.2018",96,"AT",0.3985,0.43796912,0.2714875,,,,,1,1,1,6,5,1,1,6,1,2,1,1,1,1,1,1,1,1,1,6,1
"ESS1e06_6",1,"6.6","01.12.2018",98,"AT",1.5943,1.2433277,0.2714875,,,,,2,1,3,4,4,2,2,4,2,3,2,2,3,2,1,2,3,2,1,2,2
